## {'min_sep': 10.0, 'max_sep': 1000.0, 'nbins': 20, 'sep_units': 'arcmin', 'var_method': 'jackknife', 'cross_patch_weight': 'match', 'coords': 'spherical', 'metric': 'Euclidean', 'corr': 'GG'}
#   r_nom       meanr       meanlogr       xip          xim         xip_im       xim_im     sigma_xip    sigma_xim      weight       npairs   
  1.1220e+01   1.1342e+01   2.4264e+00   4.2554e-06   3.2852e-07   1.5409e-08   4.1619e-09   2.4298e-07   1.4456e-08   1.8096e+07   1.8096e+07
  1.4125e+01   1.4278e+01   2.6566e+00   3.5563e-06   5.3542e-07   1.5253e-08  -2.6672e-10   2.3418e-07   2.3237e-08   2.8411e+07   2.8411e+07
  1.7783e+01   1.7975e+01   2.8868e+00   3.0046e-06   6.6596e-07   1.7854e-08  -1.2675e-10   2.2816e-07   3.0548e-08   4.4512e+07   4.4512e+07
  2.2387e+01   2.2627e+01   3.1170e+00   2.5117e-06   6.9533e-07   2.8534e-08  -2.6733e-09   2.2526e-07   3.2490e-08   6.9521e+07   6.9521e+07
  2.8184e+01   2.8484e+01   3.3472e+00   2.0861e-06   7.1058e-07   3.4488e-08   5.9867e-10   2.2021e-07   3.2550e-08   1.0812e+08   1.0812e+08
  3.5481e+01   3.5856e+01   3.5773e+00   1.7737e-06   6.8180e-07   4.2011e-08   3.2050e-09   2.0938e-07   3.0841e-08   1.6756e+08   1.6756e+08
  4.4668e+01   4.5135e+01   3.8075e+00   1.4491e-06   5.9612e-07   5.0115e-08   3.0388e-09   1.9773e-07   2.5057e-08   2.5789e+08   2.5789e+08
  5.6234e+01   5.6814e+01   4.0376e+00   1.1524e-06   5.2506e-07   6.0051e-08   9.2568e-09   1.8268e-07   2.4605e-08   3.9447e+08   3.9447e+08
  7.0795e+01   7.1519e+01   4.2678e+00   8.7998e-07   4.7041e-07   5.3769e-08   1.0784e-08   1.6704e-07   2.7742e-08   5.9946e+08   5.9946e+08
  8.9125e+01   9.0025e+01   4.4979e+00   5.9829e-07   4.1794e-07   5.2172e-08   1.0192e-08   1.5572e-07   3.5104e-08   9.0582e+08   9.0582e+08
  1.1220e+02   1.1329e+02   4.7278e+00   3.8638e-07   4.2230e-07   3.8839e-08   5.9116e-09   1.4585e-07   4.2257e-08   1.3435e+09   1.3435e+09
  1.4125e+02   1.4254e+02   4.9574e+00   2.7048e-07   3.9598e-07   5.3142e-08   7.3939e-09   1.2759e-07   4.0297e-08   1.9458e+09   1.9458e+09
  1.7783e+02   1.7934e+02   5.1871e+00   1.6063e-07   3.3263e-07   1.0951e-07   7.6522e-09   1.1495e-07   5.1520e-08   2.7302e+09   2.7302e+09
  2.2387e+02   2.2544e+02   5.4159e+00   8.6802e-08   2.8572e-07   1.1168e-07   1.5377e-08   1.1223e-07   5.6867e-08   3.6204e+09   3.6204e+09
  2.8184e+02   2.8348e+02   5.6449e+00   2.6626e-08   2.3180e-07   5.8065e-08   1.4297e-09   9.6643e-08   5.2974e-08   4.4600e+09   4.4600e+09
  3.5481e+02   3.5649e+02   5.8741e+00   4.3677e-08   2.1406e-07   3.5661e-08   1.7670e-08   8.2424e-08   5.0687e-08   5.0969e+09   5.0969e+09
  4.4668e+02   4.4927e+02   6.1054e+00   4.1799e-08   1.8397e-07   9.5174e-08  -3.3572e-08   7.1241e-08   6.3661e-08   5.8235e+09   5.8235e+09
  5.6234e+02   5.6599e+02   6.3364e+00  -4.7448e-08   8.7495e-08   8.1720e-08  -3.2182e-08   7.1213e-08   7.3333e-08   6.8490e+09   6.8490e+09
  7.0795e+02   7.1267e+02   6.5668e+00  -1.9068e-09   6.9418e-08   5.2065e-08  -1.5444e-08   6.0485e-08   6.9247e-08   7.9506e+09   7.9506e+09
  8.9125e+02   8.9859e+02   6.7986e+00  -9.7176e-08   9.6079e-08   8.0184e-08  -7.9806e-08   5.4115e-08   9.9655e-08   9.2300e+09   9.2300e+09
