## {'min_sep': 10.0, 'max_sep': 1000.0, 'nbins': 20, 'sep_units': 'arcmin', 'var_method': 'jackknife', 'cross_patch_weight': 'match', 'coords': 'spherical', 'metric': 'Euclidean', 'corr': 'GG'}
#   r_nom       meanr       meanlogr       xip          xim         xip_im       xim_im     sigma_xip    sigma_xim      weight       npairs   
  1.1220e+01   1.1341e+01   2.4263e+00   1.4713e-05   1.4257e-06  -3.8133e-09  -1.5308e-08   1.2057e-06   8.8067e-08   7.1173e+05   7.1173e+05
  1.4125e+01   1.4277e+01   2.6565e+00   1.1785e-05   2.1675e-06  -1.2276e-07   3.3729e-09   1.0796e-06   1.0054e-07   1.1102e+06   1.1102e+06
  1.7783e+01   1.7975e+01   2.8868e+00   9.6043e-06   2.7867e-06  -5.2578e-08  -5.8646e-09   9.6523e-07   1.4111e-07   1.7385e+06   1.7385e+06
  2.2387e+01   2.2628e+01   3.1170e+00   7.8131e-06   3.0105e-06  -1.5127e-07   2.0369e-08   8.4492e-07   1.7802e-07   2.7184e+06   2.7184e+06
  2.8184e+01   2.8483e+01   3.3471e+00   6.3089e-06   2.9923e-06  -1.0426e-07  -3.9420e-08   7.2410e-07   1.9676e-07   4.2278e+06   4.2278e+06
  3.5481e+01   3.5856e+01   3.5773e+00   5.1360e-06   2.7407e-06  -1.0727e-07  -5.1595e-08   6.0479e-07   1.9888e-07   6.5498e+06   6.5498e+06
  4.4668e+01   4.5136e+01   3.8075e+00   4.0475e-06   2.4179e-06  -1.0977e-07  -2.8766e-08   5.1012e-07   1.9743e-07   1.0091e+07   1.0091e+07
  5.6234e+01   5.6817e+01   4.0377e+00   3.0533e-06   2.1118e-06   2.1741e-09   4.6052e-08   4.8242e-07   2.2581e-07   1.5419e+07   1.5419e+07
  7.0795e+01   7.1516e+01   4.2677e+00   2.4434e-06   1.9555e-06   1.0143e-07   2.5782e-08   4.7071e-07   2.2434e-07   2.3462e+07   2.3462e+07
  8.9125e+01   9.0020e+01   4.4979e+00   2.0318e-06   1.6810e-06   5.3776e-08  -1.5352e-08   4.5275e-07   2.2730e-07   3.5376e+07   3.5376e+07
  1.1220e+02   1.1329e+02   4.7277e+00   1.5020e-06   1.3527e-06  -9.2172e-08   4.9617e-09   4.2737e-07   2.2530e-07   5.2558e+07   5.2558e+07
  1.4125e+02   1.4254e+02   4.9574e+00   1.0416e-06   1.1548e-06  -9.3512e-08   7.2067e-08   3.4613e-07   1.7404e-07   7.6056e+07   7.6056e+07
  1.7783e+02   1.7931e+02   5.1869e+00   4.9367e-07   8.2051e-07  -2.8737e-07   3.8814e-08   1.8663e-07   9.7968e-08   1.0635e+08   1.0635e+08
  2.2387e+02   2.2544e+02   5.4158e+00  -1.8651e-07   7.1914e-07  -4.7380e-07  -7.5973e-09   1.3470e-07   1.5656e-07   1.4084e+08   1.4084e+08
  2.8184e+02   2.8346e+02   5.6449e+00  -2.9610e-07   1.0816e-06  -5.0788e-07   1.3045e-07   2.0316e-07   2.2376e-07   1.7240e+08   1.7240e+08
  3.5481e+02   3.5649e+02   5.8741e+00  -4.4759e-07   1.1150e-06  -3.0375e-07   4.8507e-08   2.6400e-07   2.7118e-07   1.9750e+08   1.9750e+08
  4.4668e+02   4.4932e+02   6.1055e+00  -3.4169e-07   8.8734e-07   2.3645e-07  -1.0506e-07   2.1949e-07   3.2247e-07   2.2583e+08   2.2583e+08
  5.6234e+02   5.6600e+02   6.3364e+00  -4.4653e-08   7.4952e-07  -1.6009e-07  -9.7096e-08   2.5789e-07   3.0740e-07   2.6503e+08   2.6503e+08
  7.0795e+02   7.1262e+02   6.5667e+00  -2.2016e-07   1.9605e-07  -2.9214e-07   1.3561e-07   1.6419e-07   1.6016e-07   3.0741e+08   3.0741e+08
  8.9125e+02   8.9864e+02   6.7987e+00  -5.2390e-07   4.8914e-07  -8.8055e-09   2.9739e-07   2.5615e-07   1.5164e-07   3.5661e+08   3.5661e+08
