## {'min_sep': 10.0, 'max_sep': 1000.0, 'nbins': 20, 'sep_units': 'arcmin', 'var_method': 'jackknife', 'coords': 'spherical', 'metric': 'Euclidean', 'corr': 'GG'}
#   r_nom       meanr       meanlogr       xip          xim         xip_im       xim_im     sigma_xip    sigma_xim      weight       npairs   
  1.1220e+01   1.1342e+01   2.4264e+00   1.7542e-05   1.4825e-06   1.4593e-08   2.0330e-09   1.0058e-06   7.4381e-08   1.8097e+07   1.8097e+07
  1.4125e+01   1.4279e+01   2.6566e+00   1.4312e-05   2.4668e-06  -3.1245e-08  -9.9106e-09   8.2505e-07   1.2400e-07   2.8397e+07   2.8397e+07
  1.7783e+01   1.7975e+01   2.8868e+00   1.1802e-05   3.1184e-06  -5.6820e-08  -1.2633e-08   6.7434e-07   1.7266e-07   4.4493e+07   4.4493e+07
  2.2387e+01   2.2627e+01   3.1170e+00   9.6348e-06   3.2751e-06  -5.6943e-08   9.0842e-09   5.6485e-07   2.1752e-07   6.9494e+07   6.9494e+07
  2.8184e+01   2.8484e+01   3.3472e+00   7.7924e-06   3.3194e-06  -1.0285e-07   2.4296e-08   5.0392e-07   2.5782e-07   1.0807e+08   1.0807e+08
  3.5481e+01   3.5856e+01   3.5773e+00   6.4022e-06   3.1674e-06  -1.0753e-07   2.6812e-08   4.9606e-07   2.7704e-07   1.6757e+08   1.6757e+08
  4.4668e+01   4.5134e+01   3.8075e+00   5.1253e-06   2.8256e-06  -1.1352e-07   3.7977e-08   4.8725e-07   2.8848e-07   2.5778e+08   2.5778e+08
  5.6234e+01   5.6814e+01   4.0376e+00   4.0492e-06   2.5275e-06  -2.1976e-07   2.2879e-08   4.7931e-07   2.8596e-07   3.9433e+08   3.9433e+08
  7.0795e+01   7.1515e+01   4.2677e+00   3.1630e-06   2.2258e-06  -3.2541e-07  -1.9032e-08   4.7411e-07   2.6459e-07   5.9902e+08   5.9902e+08
  8.9125e+01   9.0018e+01   4.4978e+00   2.4156e-06   1.9553e-06  -4.9180e-07   8.3193e-09   4.6890e-07   2.5201e-07   9.0391e+08   9.0391e+08
  1.1220e+02   1.1329e+02   4.7277e+00   1.7396e-06   1.6263e-06  -5.9634e-07   3.7955e-08   5.1571e-07   1.9778e-07   1.3397e+09   1.3397e+09
  1.4125e+02   1.4253e+02   4.9574e+00   1.2670e-06   1.4824e-06  -5.0996e-07   3.1312e-08   4.9482e-07   2.1401e-07   1.9432e+09   1.9432e+09
  1.7783e+02   1.7931e+02   5.1869e+00   1.3099e-06   1.4478e-06  -3.6771e-07  -3.6222e-08   4.9444e-07   1.9736e-07   2.7278e+09   2.7278e+09
  2.2387e+02   2.2544e+02   5.4159e+00   8.5979e-07   9.3329e-07  -4.7033e-07   5.8702e-09   4.3530e-07   2.7044e-07   3.6183e+09   3.6183e+09
  2.8184e+02   2.8348e+02   5.6449e+00   3.9385e-07   8.4410e-07  -5.3659e-07   1.2650e-07   3.9864e-07   2.7191e-07   4.4579e+09   4.4579e+09
  3.5481e+02   3.5650e+02   5.8741e+00   5.7305e-08   8.9837e-07  -6.1226e-07   2.6007e-07   5.1817e-07   2.4252e-07   5.1019e+09   5.1019e+09
  4.4668e+02   4.4933e+02   6.1056e+00   1.9735e-07   1.2750e-06  -4.7904e-07   1.0390e-08   4.5982e-07   2.5021e-07   5.8250e+09   5.8250e+09
  5.6234e+02   5.6603e+02   6.3364e+00   4.6326e-08   1.0244e-06  -4.4662e-07  -4.2068e-07   4.5296e-07   3.2228e-07   6.8518e+09   6.8518e+09
  7.0795e+02   7.1267e+02   6.5668e+00   3.0687e-07   8.3337e-07  -4.4175e-07  -2.9306e-07   4.0908e-07   4.2787e-07   7.9635e+09   7.9635e+09
  8.9125e+02   8.9862e+02   6.7986e+00   2.1506e-07   4.8954e-07  -3.2262e-07  -6.0920e-08   3.4701e-07   4.9641e-07   9.2464e+09   9.2464e+09
