## {'min_sep': 10.0, 'max_sep': 1000.0, 'nbins': 20, 'sep_units': 'arcmin', 'var_method': 'jackknife', 'coords': 'spherical', 'metric': 'Euclidean', 'corr': 'GG'}
#   r_nom       meanr       meanlogr       xip          xim         xip_im       xim_im     sigma_xip    sigma_xim      weight       npairs   
  1.1220e+01   1.1344e+01   2.4265e+00   1.3382e-05   1.2928e-06  -4.4721e-08   6.5822e-08   1.5096e-07   3.4495e-08   6.1630e+05   6.1630e+05
  1.4125e+01   1.4282e+01   2.6568e+00   1.0572e-05   2.2041e-06   8.4033e-09  -4.7851e-08   1.3620e-07   3.0739e-08   9.7575e+05   9.7575e+05
  1.7783e+01   1.7977e+01   2.8869e+00   8.4804e-06   2.8462e-06  -1.3077e-08  -1.0744e-08   1.2539e-07   3.3493e-08   1.5477e+06   1.5477e+06
  2.2387e+01   2.2635e+01   3.1173e+00   6.8224e-06   2.9508e-06  -3.4292e-08   4.6343e-09   1.0531e-07   3.4130e-08   2.4501e+06   2.4501e+06
  2.8184e+01   2.8497e+01   3.3476e+00   5.4636e-06   2.8843e-06   1.9234e-09   1.5448e-08   9.6644e-08   3.7071e-08   3.8853e+06   3.8853e+06
  3.5481e+01   3.5873e+01   3.5778e+00   4.4330e-06   2.6416e-06   1.5192e-08  -5.2642e-10   8.5296e-08   3.1064e-08   6.1589e+06   6.1589e+06
  4.4668e+01   4.5161e+01   3.8081e+00   3.5245e-06   2.2862e-06   8.3007e-09  -6.6826e-09   8.2962e-08   2.2291e-08   9.7646e+06   9.7646e+06
  5.6234e+01   5.6857e+01   4.0384e+00   2.7525e-06   1.9687e-06  -9.8683e-09  -2.4692e-08   7.5387e-08   2.5146e-08   1.5470e+07   1.5470e+07
  7.0795e+01   7.1575e+01   4.2686e+00   2.0922e-06   1.6670e-06  -1.6998e-08  -5.6085e-09   6.7138e-08   1.8736e-08   2.4527e+07   2.4527e+07
  8.9125e+01   9.0111e+01   4.4989e+00   1.5692e-06   1.4192e-06   9.2024e-09   4.0461e-09   6.0890e-08   1.6698e-08   3.8883e+07   3.8883e+07
  1.1220e+02   1.1345e+02   4.7291e+00   1.1314e-06   1.2121e-06   1.1311e-08   1.0559e-08   5.6156e-08   1.7890e-08   6.1654e+07   6.1654e+07
  1.4125e+02   1.4282e+02   4.9594e+00   8.0780e-07   1.0237e-06   1.3510e-08   1.8002e-09   4.6319e-08   1.8419e-08   9.7696e+07   9.7696e+07
  1.7783e+02   1.7981e+02   5.1897e+00   5.7296e-07   8.7101e-07   1.0414e-08   1.2678e-08   3.7668e-08   1.7946e-08   1.5481e+08   1.5481e+08
  2.2387e+02   2.2639e+02   5.4201e+00   3.9600e-07   7.1482e-07   1.2795e-08   2.9645e-09   3.8668e-08   1.7478e-08   2.4545e+08   2.4545e+08
  2.8184e+02   2.8504e+02   5.6504e+00   2.7527e-07   5.6969e-07   9.4188e-09   4.7052e-09   3.7388e-08   1.9982e-08   3.8900e+08   3.8900e+08
  3.5481e+02   3.5891e+02   5.8809e+00   1.5662e-07   4.4208e-07   6.0981e-09   1.9569e-10   3.4297e-08   2.0599e-08   6.1690e+08   6.1690e+08
  4.4668e+02   4.5193e+02   6.1113e+00   8.4918e-08   3.6137e-07   1.1570e-08  -2.1512e-09   2.7895e-08   1.9037e-08   9.7721e+08   9.7721e+08
  5.6234e+02   5.6922e+02   6.3421e+00   6.3339e-08   2.9281e-07   1.5215e-08   8.4789e-10   2.3680e-08   1.4172e-08   1.5491e+09   1.5491e+09
  7.0795e+02   7.1712e+02   6.5731e+00   1.2985e-08   1.9976e-07   6.9049e-09   5.4593e-09   1.9904e-08   1.6040e-08   2.4546e+09   2.4546e+09
  8.9125e+02   9.0377e+02   6.8044e+00  -2.4049e-08   1.5858e-07  -3.2538e-10   1.0719e-09   1.3712e-08   1.6259e-08   3.8970e+09   3.8970e+09
